Category: All categories

Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
North Carolina,25%,62%,13%
South Carolina,22%,66%,12%
Alabama,24%,64%,12%
Tennessee,22%,66%,12%
Kentucky,22%,65%,13%
Utah,21%,65%,14%
Indiana,23%,64%,13%
Illinois,23%,63%,14%
Oklahoma,19%,69%,12%
Virginia,23%,63%,14%
West Virginia,23%,64%,13%
Georgia,22%,64%,14%
Pennsylvania,22%,63%,15%
Connecticut,22%,64%,14%
Texas,21%,66%,13%
Rhode Island,22%,65%,13%
Arkansas,20%,67%,13%
Ohio,22%,64%,14%
Kansas,20%,66%,14%
Maryland,23%,62%,15%
New Jersey,22%,62%,16%
Michigan,20%,67%,13%
Missouri,19%,68%,13%
Florida,22%,64%,14%
Nevada,20%,68%,12%
Delaware,23%,64%,13%
Mississippi,19%,69%,12%
Idaho,19%,67%,14%
Wisconsin,20%,67%,13%
Arizona,19%,67%,14%
Iowa,20%,67%,13%
North Dakota,18%,70%,12%
California,19%,67%,14%
New Hampshire,21%,66%,13%
Louisiana,20%,67%,13%
Minnesota,18%,68%,14%
Nebraska,18%,69%,13%
Washington,17%,69%,14%
New Mexico,18%,67%,15%
Oregon,17%,69%,14%
New York,20%,64%,16%
Massachusetts,21%,61%,18%
Colorado,17%,69%,14%
South Dakota,14%,76%,10%
Maine,18%,69%,13%
Wyoming,16%,72%,12%
Hawaii,15%,72%,13%
Vermont,17%,69%,14%
Montana,14%,74%,12%
Alaska,15%,72%,13%
District of Columbia,17%,67%,16%
